,定制须知&售后条款（（下单前必看！！！））,,,,,,,,,
,重点：交稿请按报价表规定格式交稿，成功上车会回复1，不符合标准均会驳回，客服不审稿不修改稿件，制品定制需一定美工及制品理论基础，请老师们自己检查好文件哦~,,,,,,,,,
,回复邮件正常是周一到周四次日回复   周五的当日没有回复完会顺延到周一回复  无论接受或者打回都会回复邮件的  老师要看邮件回复哦,,,,,,,,,
,不接类型：官图、无授权图、无授权真人照片、立场有问题的作品、R18、违法违规内容,,,,,,,,,
,,,,,,,,,,
,单走制品,,,,,,,,,
,"1 . UV印吧唧

","2. 亚克力色纸立牌在这里
",3.  durst印亚克力,4.  折扇 ,"5. 鼠标垫
",,,,,
,"tips：本选项工艺为uv印刷，打样5r一个包邮工期5-7天，大货工期7-15天，表上没有的闪底可以联系饼王报价
",tips：如需额外挂件组装单个+1r（大货）打样基础价格10r  打样工期5-7天,"tips：打样和大货都可以单走，交期15-20
默认durst表印（微浮雕效果）可做里贴（私信问芝麻饼）",,tips：3mm厚度可以做异形  ,,,,,
,,,,,,,,,,
,拼车制品,,,,,,,,,
,柯印吧唧,"烫色亚克力双闪色纸
",贝壳烫pet透卡,贝壳烫双闪吧唧,厚亚克力&贝母麻将,,,,,
,总数满一千发走  单坑50起  工期15-20天,"总数满500发走，单坑50起
",要拼车，坑数点链接查看，坑满发车，,总数满一千发走  单坑50起  工期20-25天,总数满500发走，单坑50起,,,,,
,可以打样  单色号满30坑开走  打样大货交期15-20天左右,"可以打样，打样要蹭大货车，打样大货工期都是15-25天
默认dlurst表印(微浮雕效
果，可做里贴（私信问芝麻饼）
",durst印微浮雕效果25丝pet透卡  可做对裱/双烫/异形（外轮廓）各种工艺  找曲奇饼报价,"durst印微浮雕效果
可以打样  单色号满30坑开走  打样大货交期15-25天左右","durst印微浮雕效果
默认烫色在表面（如需内贴  私聊芝麻饼报价）
可以打样，打样要蹭大货车，打样大货工期都是25天",,,,,
,烫色色号车头决定,烫色色号车头决定,打样尺寸200*140内，色号车头决定  交期7天左右,烫色色号车头决定,烫色色号车头决定,,,,,
,"私家车、包车请联系对应客服，车头需自行打表、收肾、收集文件 
自己登记好一起发邮箱单走的 透卡整车9折 亚克力跟吧唧整车95折",,,,,,,,,
,拼车制品同一车烫色色号要相同，不可混拼烫色，群相册有闪底、烫色色号、包边颜色可参考,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,发货单汇总表,,吧唧白墨参考,冷烫制品打印色参考,冷烫制品白墨参考,,,,,
,饼饼发货快递单号表,,吧唧白墨,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,车况表,闪底图参考,,,,,,,,
,车况表,饼饼定制双闪吧唧闪底 ,,,,,,,,
,,,,,,,,,,
